Country,Sports Participated,Gold,Silver,Bronze,Sports Won Medals
United Arab Emirates,2,0,0,0,0
United Republic of Tanzania,1,0,0,0,0
United States of America,34,29,29,27,85
Uruguay,2,0,0,0,0
Uzbekistan,12,3,0,2,5
Vanuatu,3,0,0,0,0
Venezuela,13,1,3,0,4
Vietnam,7,0,0,0,0
"Virgin Islands, British",1,0,0,0,0
"Virgin Islands, US",1,0,0,0,0
Yemen,2,0,0,0,0
Zambia,2,0,0,0,0
Zimbabwe,2,0,0,0,0
