,Name,Sex,Age,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
13044,TEFERI Maru,M,28,Israel,ISR,2020 Summer,2020,Summer,Tokyo,Athletics,Men's Marathon,
3102,DERKACH Dariya,F,28,Italy,ITA,2020 Summer,2020,Summer,Tokyo,Athletics,Women's Triple Jump,
4388,GHEBREHIWET FANIEL Eyob,M,28,Italy,ITA,2020 Summer,2020,Summer,Tokyo,Athletics,Men's Marathon,
10832,RACHIK Yassine,M,28,Italy,ITA,2020 Summer,2020,Summer,Tokyo,Athletics,Men's Marathon,
10978,RE Davide,M,28,Italy,ITA,2020 Summer,2020,Summer,Tokyo,Athletics,Men's 400m,
10979,RE Davide,M,28,Italy,ITA,2020 Summer,2020,Summer,Tokyo,Athletics,Men's 4 x 400m Relay Team,
12296,SIRAGUSA Irene,F,28,Italy,ITA,2020 Summer,2020,Summer,Tokyo,Athletics,Women's 4 x 100m Relay Team,
13405,TREVISAN Giancarla,F,28,Italy,ITA,2020 Summer,2020,Summer,Tokyo,Athletics,4 x 400m Relay Mixed Team,
13415,TROST Alessia,F,28,Italy,ITA,2020 Summer,2020,Summer,Tokyo,Athletics,Women's High Jump,
3986,FORTE Julian,M,28,Jamaica,JAM,2020 Summer,2020,Summer,Tokyo,Athletics,Men's 200m,
3987,FORTE Julian,M,28,Jamaica,JAM,2020 Summer,2020,Summer,Tokyo,Athletics,Men's 4 x 100m Relay Team,
4299,GAYE Demish,M,28,Jamaica,JAM,2020 Summer,2020,Summer,Tokyo,Athletics,Men's 400m,
4300,GAYE Demish,M,28,Jamaica,JAM,2020 Summer,2020,Summer,Tokyo,Athletics,Men's 4 x 400m Relay Team,
5944,JENKINS Tovea,F,28,Jamaica,JAM,2020 Summer,2020,Summer,Tokyo,Athletics,4 x 400m Relay Mixed Team,
8439,McDONALD Rusheen,M,28,Jamaica,JAM,2020 Summer,2020,Summer,Tokyo,Athletics,4 x 400m Relay Mixed Team,
9614,NUGENT Leah,F,28,Jamaica,JAM,2020 Summer,2020,Summer,Tokyo,Athletics,Women's 400m Hurdles,
11322,ROWE Shawn,M,28,Jamaica,JAM,2020 Summer,2020,Summer,Tokyo,Athletics,Men's 400m Hurdles,
13142,THOMAS-DODD Danniel,F,28,Jamaica,JAM,2020 Summer,2020,Summer,Tokyo,Athletics,Women's Shot Put,
13386,TRACEY Tyquendo,M,28,Jamaica,JAM,2020 Summer,2020,Summer,Tokyo,Athletics,Men's 100m,
13387,TRACEY Tyquendo,M,28,Jamaica,JAM,2020 Summer,2020,Summer,Tokyo,Athletics,Men's 4 x 100m Relay Team,
8329,MATSUEDA Hiroki,M,28,Japan,JPN,2020 Summer,2020,Summer,Tokyo,Athletics,Men's 5000m,
9329,NAKAMURA Shogo,M,28,Japan,JPN,2020 Summer,2020,Summer,Tokyo,Athletics,Men's Marathon,
12897,TAKAHASHI Eiki,M,28,Japan,JPN,2020 Summer,2020,Summer,Tokyo,Athletics,Men's 20km Race Walk,
6608,KIPRUTO Amos,M,28,Kenya,KEN,2020 Summer,2020,Summer,Tokyo,Athletics,Men's Marathon,
9684,ODHIAMBO Mark Otieno,M,28,Kenya,KEN,2020 Summer,2020,Summer,Tokyo,Athletics,Men's 100m,
423,ALYOUHA Yaqoub,M,28,Kuwait,KUW,2020 Summer,2020,Summer,Tokyo,Athletics,Men's 110m Hurdles,
9253,MUZE Lina,F,28,Latvia,LAT,2020 Summer,2020,Summer,Tokyo,Athletics,Women's Javelin Throw,
4884,HADID Noureddine,M,28,Lebanon,LBN,2020 Summer,2020,Summer,Tokyo,Athletics,Men's 200m,
1289,BERTEMES Bob,M,28,Luxembourg,LUX,2020 Summer,2020,Summer,Tokyo,Athletics,Men's Shot Put,
81,ABIDINE Abidine,M,28,Mauritania,MTN,2020 Summer,2020,Summer,Tokyo,Athletics,Men's 5000m,
4794,GUERRERO Ilse,F,28,Mexico,MEX,2020 Summer,2020,Summer,Tokyo,Athletics,Women's 20km Race Walk,
10904,RAMIREZ LIMON Andrea Soraya,F,28,Mexico,MEX,2020 Summer,2020,Summer,Tokyo,Athletics,Women's Marathon,
8143,MARGHIEV Serghei,M,28,Moldova,MDA,2020 Summer,2020,Summer,Tokyo,Athletics,Men's Hammer Throw,
3540,EL GUESSE Abdelati,M,28,Morocco,MAR,2020 Summer,2020,Summer,Tokyo,Athletics,Men's 800m,
11481,SAHLI Hamza,M,28,Morocco,MAR,2020 Summer,2020,Summer,Tokyo,Athletics,Men's Marathon,
13216,TINDOUFT Mohamed,M,28,Morocco,MAR,2020 Summer,2020,Summer,Tokyo,Athletics,Men's 3000m Steeplechase,
1877,BURNET Taymir,M,28,Netherlands,NED,2020 Summer,2020,Summer,Tokyo,Athletics,Men's 200m,
1878,BURNET Taymir,M,28,Netherlands,NED,2020 Summer,2020,Summer,Tokyo,Athletics,Men's 4 x 100m Relay Team,
3004,de WITTE Lisanne,F,28,Netherlands,NED,2020 Summer,2020,Summer,Tokyo,Athletics,Women's 400m,
3005,de WITTE Lisanne,F,28,Netherlands,NED,2020 Summer,2020,Summer,Tokyo,Athletics,Women's 4 x 400m Relay Team,
3006,de WITTE Lisanne,F,28,Netherlands,NED,2020 Summer,2020,Summer,Tokyo,Athletics,4 x 400m Relay Mixed Team,
4265,GARIA Christopher,M,28,Netherlands,NED,2020 Summer,2020,Summer,Tokyo,Athletics,Men's 4 x 100m Relay Team,
10175,PAULINA Hensley,M,28,Netherlands,NED,2020 Summer,2020,Summer,Tokyo,Athletics,Men's 4 x 100m Relay Team,
13771,van VLIET Leonie,F,28,Netherlands,NED,2020 Summer,2020,Summer,Tokyo,Athletics,Women's 4 x 100m Relay Team,
10953,RATCLIFFE Julia,F,28,New Zealand,NZL,2020 Summer,2020,Summer,Tokyo,Athletics,Women's Hammer Throw,
3625,ENEKWECHI Chukwuebuka,M,28,Nigeria,NGR,2020 Summer,2020,Summer,Tokyo,Athletics,Men's Shot Put,
5733,INGEBRIGTSEN Filip,M,28,Norway,NOR,2020 Summer,2020,Summer,Tokyo,Athletics,Men's 1500m,
6218,KAPUTIN Rellie,F,28,Papua New Guinea,PNG,2020 Summer,2020,Summer,Tokyo,Athletics,Women's Long Jump,
9988,PACHECO Christian,M,28,Peru,PER,2020 Summer,2020,Summer,Tokyo,Athletics,Men's Marathon,
2760,CZYKIER Damian,M,28,Poland,POL,2020 Summer,2020,Summer,Tokyo,Athletics,Men's 110m Hurdles,
7619,LISEK Piotr,M,28,Poland,POL,2020 Summer,2020,Summer,Tokyo,Athletics,Men's Pole Vault,
14910,ZALEWSKI Karol,M,28,Poland,POL,2020 Summer,2020,Summer,Tokyo,Athletics,Men's 400m,
14911,ZALEWSKI Karol,M,28,Poland,POL,2020 Summer,2020,Summer,Tokyo,Athletics,Men's 4 x 400m Relay Team,
10249,PEN FREITAS Marta,F,28,Portugal,POR,2020 Summer,2020,Summer,Tokyo,Athletics,Women's 1500m,
9374,NATHIKE Lokonyen Rose,F,28,Refugee Olympic Team,EOR,2020 Summer,2020,Summer,Tokyo,Athletics,Women's 800m,
11314,ROTARU-KOTTMANN Alina,F,28,Romania,ROU,2020 Summer,2020,Summer,Tokyo,Athletics,Women's Long Jump,
5821,IVANYUK Ilya,M,28,Russia,ROC,2020 Summer,2020,Summer,Tokyo,Athletics,Men's High Jump,
14044,VUCENOVIC Marija,F,28,Serbia,SRB,2020 Summer,2020,Summer,Tokyo,Athletics,Women's Javelin Throw,
13756,van ROOYEN Rocco,M,28,South Africa,RSA,2020 Summer,2020,Summer,Tokyo,Athletics,Men's Javelin Throw,
5996,JIN Minsub,M,28,South Korea,KOR,2020 Summer,2020,Summer,Tokyo,Athletics,Men's Pole Vault,
648,ARENAS Julio,M,28,Spain,ESP,2020 Summer,2020,Summer,Tokyo,Athletics,4 x 400m Relay Mixed,
1823,BUENO Laura,F,28,Spain,ESP,2020 Summer,2020,Summer,Tokyo,Athletics,4 x 400m Relay Mixed Team,
3821,FERNANDEZ Sergio,M,28,Spain,ESP,2020 Summer,2020,Summer,Tokyo,Athletics,Men's 400m Hurdles,
5618,HUSILLOS Oscar,M,28,Spain,ESP,2020 Summer,2020,Summer,Tokyo,Athletics,Men's 400m,
10304,PEREZ Maria Isabel,F,28,Spain,ESP,2020 Summer,2020,Summer,Tokyo,Athletics,Women's 100m,
10305,PEREZ Marta,F,28,Spain,ESP,2020 Summer,2020,Summer,Tokyo,Athletics,Women's 1500m,
1225,BENGTSSON Angelica,F,28,Sweden,SWE,2020 Summer,2020,Summer,Tokyo,Athletics,Women's Pole Vault,
8566,MEIJER Michaela,F,28,Sweden,SWE,2020 Summer,2020,Summer,Tokyo,Athletics,Women's Pole Vault,
3723,FAHR Annina,F,28,Switzerland,SUI,2020 Summer,2020,Summer,Tokyo,Athletics,Women's 4 x 400m Relay Team,
8312,MATANGA Failuna,F,28,Tanzania,TAN,2020 Summer,2020,Summer,Tokyo,Athletics,Women's Marathon,
2778,DABLA Fabrice,M,28,Togo,TOG,2020 Summer,2020,Summer,Tokyo,Athletics,Men's 100m,
7427,LENDORE Deon,M,28,Trinidad and Tobago,TTO,2020 Summer,2020,Summer,Tokyo,Athletics,Men's 400m,
7428,LENDORE Deon,M,28,Trinidad and Tobago,TTO,2020 Summer,2020,Summer,Tokyo,Athletics,Men's 4 x 400m Relay Team,
14079,WALCOTT Keshorn,M,28,Trinidad and Tobago,TTO,2020 Summer,2020,Summer,Tokyo,Athletics,Men's Javelin Throw,
9232,MUSAGALA Ronald,M,28,Uganda,UGA,2020 Summer,2020,Summer,Tokyo,Athletics,Men's 1500m,
5341,HLADIYCHUK Yana,F,28,Ukraine,UKR,2020 Summer,2020,Summer,Tokyo,Athletics,Women's Pole Vault,
9818,OLYANOVSKA Lyudmila,F,28,Ukraine,UKR,2020 Summer,2020,Summer,Tokyo,Athletics,Women's 20km Race Walk,
1596,BOUGARD Erica,F,28,United States,USA,2020 Summer,2020,Summer,Tokyo,Athletics,Women's Heptathlon,
2016,CARD Kelsey,F,28,United States,USA,2020 Summer,2020,Summer,Tokyo,Athletics,Women's Discus Throw,
3081,DENDY Marquis,M,28,United States,USA,2020 Summer,2020,Summer,Tokyo,Athletics,Men's Long Jump,
3807,FERLIC Mason,M,28,United States,USA,2020 Summer,2020,Summer,Tokyo,Athletics,Men's 3000m Steeplechase,
4027,FRANKLIN Tori,F,28,United States,USA,2020 Summer,2020,Summer,Tokyo,Athletics,Women's Triple Jump,
6576,KINCAID William,M,28,United States,USA,2020 Summer,2020,Summer,Tokyo,Athletics,Men's 5000m,
6577,KINCAID William,M,28,United States,USA,2020 Summer,2020,Summer,Tokyo,Athletics,"Men's 10,000m",
7077,KUNZ Annie,F,28,United States,USA,2020 Summer,2020,Summer,Tokyo,Athletics,Women's Heptathlon,
7414,LELEUX ROMERO Morgann,F,28,United States,USA,2020 Summer,2020,Summer,Tokyo,Athletics,Women's Pole Vault,
10680,PRANDINI Jenna,F,28,United States,USA,2020 Summer,2020,Summer,Tokyo,Athletics,Women's 100m,
10681,PRANDINI Jenna,F,28,United States,USA,2020 Summer,2020,Summer,Tokyo,Athletics,Women's 200m,
10706,PRICE Deanna,F,28,United States,USA,2020 Summer,2020,Summer,Tokyo,Athletics,Women's Hammer Throw,
11756,SCANTLING Garrett,M,28,United States,USA,2020 Summer,2020,Summer,Tokyo,Athletics,Men's Decathlon,
15068,ZIEMEK Zachery,M,28,United States,USA,2020 Summer,2020,Summer,Tokyo,Athletics,Men's Decathlon,
11192,RODRIGUEZ Deborah,F,28,Uruguay,URU,2020 Summer,2020,Summer,Tokyo,Athletics,Women's 800m,
6452,KHODJAEV Sukhrob,M,28,Uzbekistan,UZB,2020 Summer,2020,Summer,Tokyo,Athletics,Men's Hammer Throw,
7083,KURBANOV Ruslan,M,28,Uzbekistan,UZB,2020 Summer,2020,Summer,Tokyo,Athletics,Men's Triple Jump,
12594,STANO Massimo,M,29,Italy,ITA,2020 Summer,2020,Summer,Tokyo,Athletics,Men's 20km Race Walk,Gold
12928,TAMBERI Gianmarco,M,29,Italy,ITA,2020 Summer,2020,Summer,Tokyo,Athletics,Men's High Jump,Gold
1854,BURCHELL Remona,F,29,Jamaica,JAM,2020 Summer,2020,Summer,Tokyo,Athletics,Women's 4 x 100m Relay Team,Gold
13158,THOMPSON-HERAH Elaine,F,29,Jamaica,JAM,2020 Summer,2020,Summer,Tokyo,Athletics,Women's 100m,Gold
13159,THOMPSON-HERAH Elaine,F,29,Jamaica,JAM,2020 Summer,2020,Summer,Tokyo,Athletics,Women's 200m,Gold
13160,THOMPSON-HERAH Elaine,F,29,Jamaica,JAM,2020 Summer,2020,Summer,Tokyo,Athletics,Women's 4 x 100m Relay Team,Gold
5140,HAYES Quanera,F,29,United States,USA,2020 Summer,2020,Summer,Tokyo,Athletics,Women's 4 x 400m Relay Team,Gold
9587,NORWOOD Vernon,M,29,United States,USA,2020 Summer,2020,Summer,Tokyo,Athletics,Men's 4 x 400m Relay Team,Gold
8373,MAYER Kevin,M,29,France,FRA,2020 Summer,2020,Summer,Tokyo,Athletics,Men's Decathlon,Silver
4262,GARDNER English,F,29,United States,USA,2020 Summer,2020,Summer,Tokyo,Athletics,Women's 4 x 100m Relay Team,Silver
966,BARBER Kelsey-Lee,F,29,Australia,AUS,2020 Summer,2020,Summer,Tokyo,Athletics,Women's Javelin Throw,Bronze
14272,WEISSHAIDINGER Lukas,M,29,Austria,AUT,2020 Summer,2020,Summer,Tokyo,Athletics,Men's Discus Throw,Bronze
1441,BOATENG Bismark,M,29,Canada,CAN,2020 Summer,2020,Summer,Tokyo,Athletics,Men's 4 x 100m Relay Team,Bronze
1744,BROWN Aaron,M,29,Canada,CAN,2020 Summer,2020,Summer,Tokyo,Athletics,Men's 4 x 100m Relay Team,Bronze
11182,RODNEY Brendon,M,29,Canada,CAN,2020 Summer,2020,Summer,Tokyo,Athletics,Men's 4 x 100m Relay Team,Bronze
1637,BRADSHAW Holly,F,29,Great Britain,GBR,2020 Summer,2020,Summer,Tokyo,Athletics,Women's Pole Vault,Bronze
6669,KIYENG Hyvin,F,29,Kenya,KEN,2020 Summer,2020,Summer,Tokyo,Athletics,Women's 3000m Steeplechase,Bronze
14108,WALSH Tomas,M,29,New Zealand,NZL,2020 Summer,2020,Summer,Tokyo,Athletics,Men's Shot Put,Bronze
9588,NORWOOD Vernon,M,29,United States,USA,2020 Summer,2020,Summer,Tokyo,Athletics,4 x 400m Relay Mixed Team,Bronze
5284,HETHAT Yassine,M,29,Algeria,ALG,2020 Summer,2020,Summer,Tokyo,Athletics,Men's 800m,
7156,LAHOULOU Abdelmalik,M,29,Algeria,ALG,2020 Summer,2020,Summer,Tokyo,Athletics,Men's 400m Hurdles,
1133,BECK Alex,M,29,Australia,AUS,2020 Summer,2020,Summer,Tokyo,Athletics,Men's 400m,
1816,BUCKINGHAM Ben,M,29,Australia,AUS,2020 Summer,2020,Summer,Tokyo,Athletics,Men's 3000m Steeplechase,
11333,RUBIE-RENSHAW Anneliese,F,29,Australia,AUS,2020 Summer,2020,Summer,Tokyo,Athletics,Women's 4 x 400m Relay Team,
12332,SKYDAN Hanna,F,29,Azerbaijan,AZE,2020 Summer,2020,Summer,Tokyo,Athletics,Women's Hammer Throw,
11376,RUSSELL Alonzo,M,29,Bahamas,BAH,2020 Summer,2020,Summer,Tokyo,Athletics,Men's 400m,
2776,DABA Tejitu,F,29,Bahrain,BRN,2020 Summer,2020,Summer,Tokyo,Athletics,Women's Marathon,
14224,WATRIN Julien,M,29,Belgium,BEL,2020 Summer,2020,Summer,Tokyo,Athletics,Men's 4 x 400m Relay Team,
636,ARCANJO Geisa,F,29,Brazil,BRA,2020 Summer,2020,Summer,Tokyo,Athletics,Women's Shot Put,
1875,BURMANN Pedro,M,29,Brazil,BRA,2020 Summer,2020,Summer,Tokyo,Athletics,4 x 400m Relay Mixed Team,
3762,FARIAS Bruna Jessica,F,29,Brazil,BRA,2020 Summer,2020,Summer,Tokyo,Athletics,Women's 4 x 100m Relay Team,
5233,HENRIQUES Anderson,M,29,Brazil,BRA,2020 Summer,2020,Summer,Tokyo,Athletics,4 x 400m Relay Mixed Team,
6101,JUNIOR Aldemir,M,29,Brazil,BRA,2020 Summer,2020,Summer,Tokyo,Athletics,Men's 200m,
8055,MALONE Chantel,F,29,British Virgin Islands,IVB,2020 Summer,2020,Summer,Tokyo,Athletics,Women's Long Jump,
10391,PETROVA Gabriela,F,29,Bulgaria,BUL,2020 Summer,2020,Summer,Tokyo,Athletics,Women's Triple Jump,
1440,BOATENG Bismark,M,29,Canada,CAN,2020 Summer,2020,Summer,Tokyo,Athletics,Men's 100m,
1743,BROWN Aaron,M,29,Canada,CAN,2020 Summer,2020,Summer,Tokyo,Athletics,Men's 200m,
3615,EMMANUEL Crystal,F,29,Canada,CAN,2020 Summer,2020,Summer,Tokyo,Athletics,Women's 100m,
3616,EMMANUEL Crystal,F,29,Canada,CAN,2020 Summer,2020,Summer,Tokyo,Athletics,Women's 200m,
5377,HOFBAUER Trevor,M,29,Canada,CAN,2020 Summer,2020,Summer,Tokyo,Athletics,Men's Marathon,
7164,LALONDE Genevieve,F,29,Canada,CAN,2020 Summer,2020,Summer,Tokyo,Athletics,Women's 3000m Steeplechase,
7779,LOVETT Django,M,29,Canada,CAN,2020 Summer,2020,Summer,Tokyo,Athletics,Men's High Jump,
11181,RODNEY Brendon,M,29,Canada,CAN,2020 Summer,2020,Summer,Tokyo,Athletics,Men's 200m,
505,ANDRADE Jordin,M,29,Cape Verde,CPV,2020 Summer,2020,Summer,Tokyo,Athletics,Men's 400m Hurdles,
7835,LUO Yadong,M,29,China,CHN,2020 Summer,2020,Summer,Tokyo,Athletics,Men's 50km Race Walk,
12739,SU Xinyue,F,29,China,CHN,2020 Summer,2020,Summer,Tokyo,Athletics,Women's Discus Throw,
14172,WANG Yu,M,29,China,CHN,2020 Summer,2020,Summer,Tokyo,Athletics,Men's High Jump,
14259,WEI Yongli,F,29,China,CHN,2020 Summer,2020,Summer,Tokyo,Athletics,Women's 100m,
14260,WEI Yongli,F,29,China,CHN,2020 Summer,2020,Summer,Tokyo,Athletics,Women's 4 x 100m Relay Team,
14727,YANG Shaohui,M,29,China,CHN,2020 Summer,2020,Summer,Tokyo,Athletics,Men's Marathon,
2263,CHEN Chieh,M,29,Chinese Taipei,TPE,2020 Summer,2020,Summer,Tokyo,Athletics,Men's 400m Hurdles,
5541,HUANG Shih-Feng,M,29,Chinese Taipei,TPE,2020 Summer,2020,Summer,Tokyo,Athletics,Men's Javelin Throw,
2098,CASTANEDA Jhon Alexander,M,29,Colombia,COL,2020 Summer,2020,Summer,Tokyo,Athletics,Men's 20km Race Walk,
8990,MONTANA Jose,M,29,Colombia,COL,2020 Summer,2020,Summer,Tokyo,Athletics,Men's 50km Race Walk,
4938,HAMADI Fadane,M,29,Comoros,COM,2020 Summer,2020,Summer,Tokyo,Athletics,Men's 110m Hurdles,
10124,PARLOV KOSTRO Matea,F,29,Croatia,CRO,2020 Summer,2020,Summer,Tokyo,Athletics,Women's Marathon,
354,ALMANZA Rose Mary,F,29,Cuba,CUB,2020 Summer,2020,Summer,Tokyo,Athletics,Women's 800m,
355,ALMANZA Rose Mary,F,29,Cuba,CUB,2020 Summer,2020,Summer,Tokyo,Athletics,Women's 4 x 400m Relay Team,
13393,TRAJKOVIC Milan,M,29,Cyprus,CYP,2020 Summer,2020,Summer,Tokyo,Athletics,Men's 110m Hurdles,
2165,CERVENKOVA Marketa,F,29,Czech Republic,CZE,2020 Summer,2020,Summer,Tokyo,Athletics,Women's Shot Put,
4309,GDULA Lukas,M,29,Czech Republic,CZE,2020 Summer,2020,Summer,Tokyo,Athletics,Men's 50km Race Walk,
4433,GILLAROVA Irena,F,29,Czech Republic,CZE,2020 Summer,2020,Summer,Tokyo,Athletics,Women's Javelin Throw,
5214,HELCELET Adam Sebastian,M,29,Czech Republic,CZE,2020 Summer,2020,Summer,Tokyo,Athletics,Men's Decathlon,
8010,MAKI Kristiina,F,29,Czech Republic,CZE,2020 Summer,2020,Summer,Tokyo,Athletics,Women's 1500m,
8690,MEZULIANIKOVA Diana,F,29,Czech Republic,CZE,2020 Summer,2020,Summer,Tokyo,Athletics,Women's 1500m,
8233,MARTINEZ Yancarlos,M,29,Dominican Republic,DOM,2020 Summer,2020,Summer,Tokyo,Athletics,Men's 200m,
1932,CAICEDO Juan,M,29,Ecuador,ECU,2020 Summer,2020,Summer,Tokyo,Athletics,Men's Discus Throw,
7943,MAGI Rasmus,M,29,Estonia,EST,2020 Summer,2020,Summer,Tokyo,Athletics,Men's 400m Hurdles,
7038,KUIVISTO Sara,F,29,Finland,FIN,2020 Summer,2020,Summer,Tokyo,Athletics,Women's 800m,
7039,KUIVISTO Sara,F,29,Finland,FIN,2020 Summer,2020,Summer,Tokyo,Athletics,Women's 1500m,
10137,PARTANEN Veli-Matti,M,29,Finland,FIN,2020 Summer,2020,Summer,Tokyo,Athletics,Men's 50km Race Walk,
1575,BOSSE Pierre-Ambroise,M,29,France,FRA,2020 Summer,2020,Summer,Tokyo,Athletics,Men's 800m,
3742,FALL Mouhamadou,M,29,France,FRA,2020 Summer,2020,Summer,Tokyo,Athletics,Men's 4 x 100m Relay Team,
8090,MANGA Aurel,M,29,France,FRA,2020 Summer,2020,Summer,Tokyo,Athletics,Men's 110m Hurdles,
8234,MARTINOT-LAGARDE Pascal,M,29,France,FRA,2020 Summer,2020,Summer,Tokyo,Athletics,Men's 110m Hurdles,
9336,NALIALI Christopher,M,29,France,FRA,2020 Summer,2020,Summer,Tokyo,Athletics,Men's 4 x 400m Relay,
13927,VICAUT Jimmy,M,29,France,FRA,2020 Summer,2020,Summer,Tokyo,Athletics,Men's 100m,
13928,VICAUT Jimmy,M,29,France,FRA,2020 Summer,2020,Summer,Tokyo,Athletics,Men's 4 x 100m Relay Team,
1870,BURKARD Elena,F,29,Germany,GER,2020 Summer,2020,Summer,Tokyo,Athletics,Women's 3000m Steeplechase,
3468,ECKHARDT-NOACK Neele,F,29,Germany,GER,2020 Summer,2020,Summer,Tokyo,Athletics,Women's Triple Jump,
6968,KRAUSE Gesa Felicitas,F,29,Germany,GER,2020 Summer,2020,Summer,Tokyo,Athletics,Women's 3000m Steeplechase,
10494,PINTO Tatjana,F,29,Germany,GER,2020 Summer,2020,Summer,Tokyo,Athletics,Women's 100m,
10495,PINTO Tatjana,F,29,Germany,GER,2020 Summer,2020,Summer,Tokyo,Athletics,Women's 4 x 100m Relay Team,
10743,PRZYBYLKO Mateusz,M,29,Germany,GER,2020 Summer,2020,Summer,Tokyo,Athletics,Men's High Jump,
11770,SCHAFER Carolin,F,29,Germany,GER,2020 Summer,2020,Summer,Tokyo,Athletics,Women's Heptathlon,
11865,SCHWANDKE Tristan,M,29,Germany,GER,2020 Summer,2020,Summer,Tokyo,Athletics,Men's Hammer Throw,
12624,STEINACKER Marike,F,29,Germany,GER,2020 Summer,2020,Summer,Tokyo,Athletics,Women's Discus Throw,
1898,BUTCHART Andrew,M,29,Great Britain,GBR,2020 Summer,2020,Summer,Tokyo,Athletics,Men's 5000m,
5122,HAWKINS Callum,M,29,Great Britain,GBR,2020 Summer,2020,Summer,Tokyo,Athletics,Men's Marathon,
9754,OKOYE Lawrence,M,29,Great Britain,GBR,2020 Summer,2020,Summer,Tokyo,Athletics,Men's Discus Throw,
10672,POZZI Andrew,M,29,Great Britain,GBR,2020 Summer,2020,Summer,Tokyo,Athletics,Men's 110m Hurdles,
13536,UGEN Lorraine,F,29,Great Britain,GBR,2020 Summer,2020,Summer,Tokyo,Athletics,Women's Long Jump,
14394,WILLIAMS Benjamin,M,29,Great Britain,GBR,2020 Summer,2020,Summer,Tokyo,Athletics,Men's Triple Jump,
476,ANAGNOSTOPOULOU Chrysoula,F,29,Greece,GRE,2020 Summer,2020,Summer,Tokyo,Athletics,Women's Discus Throw,
10350,PESIRIDOU Elisavet,F,29,Greece,GRE,2020 Summer,2020,Summer,Tokyo,Athletics,Women's 100m Hurdles,
994,BARR Thomas,M,29,Ireland,IRL,2020 Summer,2020,Summer,Tokyo,Athletics,Men's 400m Hurdles,
7934,MAGEEAN Ciara,F,29,Ireland,IRL,2020 Summer,2020,Summer,Tokyo,Athletics,Women's 1500m,
3945,FOFANA Hassane,M,29,Italy,ITA,2020 Summer,2020,Summer,Tokyo,Athletics,Men's 110m Hurdles,
5430,HOOPER Gloria,F,29,Italy,ITA,2020 Summer,2020,Summer,Tokyo,Athletics,Women's 200m,
5431,HOOPER Gloria,F,29,Italy,ITA,2020 Summer,2020,Summer,Tokyo,Athletics,Women's 4 x 100m Relay Team,
12607,STECCHI Claudio Michel,M,29,Italy,ITA,2020 Summer,2020,Summer,Tokyo,Athletics,Men's Pole Vault,
13659,VALLORTIGARA Elena,F,29,Italy,ITA,2020 Summer,2020,Summer,Tokyo,Athletics,Women's High Jump,
11101,RICKETTS Shanieka,F,29,Jamaica,JAM,2020 Summer,2020,Summer,Tokyo,Athletics,Women's Triple Jump,
12353,SMIKLE Traves,M,29,Jamaica,JAM,2020 Summer,2020,Summer,Tokyo,Athletics,Men's Discus Throw,
67,ABE Takatoshi,M,29,Japan,JPN,2020 Summer,2020,Summer,Tokyo,Athletics,Men's 400m Hurdles,
8263,MARUO Satoshi,M,29,Japan,JPN,2020 Summer,2020,Summer,Tokyo,Athletics,Men's 50km Race Walk,
9738,OKADA Kumiko,F,29,Japan,JPN,2020 Summer,2020,Summer,Tokyo,Athletics,Women's 20km Race Walk,
12821,SUZUKI Ayuko,F,29,Japan,JPN,2020 Summer,2020,Summer,Tokyo,Athletics,Women's Marathon,
13255,TOBE Naoto,M,29,Japan,JPN,2020 Summer,2020,Summer,Tokyo,Athletics,Men's High Jump,
14654,YAMAGATA Ryota,M,29,Japan,JPN,2020 Summer,2020,Summer,Tokyo,Athletics,Men's 100m,
14655,YAMAGATA Ryota,M,29,Japan,JPN,2020 Summer,2020,Summer,Tokyo,Athletics,Men's 4 x 100m Relay Team,
14657,YAMAGUCHI Kosei,M,29,Japan,JPN,2020 Summer,2020,Summer,Tokyo,Athletics,Men's 3000m Steeplechase,
14661,YAMAMOTO Seito,M,29,Japan,JPN,2020 Summer,2020,Summer,Tokyo,Athletics,Men's Pole Vault,
11470,SAFRONOVA Olga,F,29,Kazakhstan,KAZ,2020 Summer,2020,Summer,Tokyo,Athletics,Women's 200m,
2312,CHEPTAI Irine,F,29,Kenya,KEN,2020 Summer,2020,Summer,Tokyo,Athletics,"Women's 10,000m",
6629,KIRUI Purity,F,29,Kenya,KEN,2020 Summer,2020,Summer,Tokyo,Athletics,Women's 3000m Steeplechase,
6436,KHATALA Neheng,F,29,Lesotho,LES,2020 Summer,2020,Summer,Tokyo,Athletics,Women's Marathon,
12019,SEUTLOALI Khoarahlane,M,29,Lesotho,LES,2020 Summer,2020,Summer,Tokyo,Athletics,Men's Marathon,
8299,MASTIANICA Artur,M,29,Lithuania,LTU,2020 Summer,2020,Summer,Tokyo,Athletics,Men's 50km Race Walk,
10038,PALSYTE Airine,F,29,Lithuania,LTU,2020 Summer,2020,Summer,Tokyo,Athletics,Women's High Jump,
4715,GRETHEN Charles,M,29,Luxembourg,LUX,2020 Summer,2020,Summer,Tokyo,Athletics,Men's 1500m,
10830,RABEARISON Todisoa Franck,M,29,Madagascar,MAD,2020 Summer,2020,Summer,Tokyo,Athletics,Men's 400m,
11439,SAAID Hassan,M,29,Maldives,MDV,2020 Summer,2020,Summer,Tokyo,Athletics,Men's 100m,
823,BA Houleye,F,29,Mauritania,MTN,2020 Summer,2020,Summer,Tokyo,Athletics,Women's 100m,
