,Name,Sex,Age,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
4224,GAO Shiyan,M,25,China,CHN,2020 Summer,2020,Summer,Tokyo,3x3 Basketball,Men Team,
14685,YAN Peng,M,25,China,CHN,2020 Summer,2020,Summer,Tokyo,3x3 Basketball,Men Team,
4774,GUAPO Laetitia,F,25,France,FRA,2020 Summer,2020,Summer,Tokyo,3x3 Basketball,Women Team,
9177,MUNKHSAIKHAN Tserenlkham,F,25,Mongolia,MGL,2020 Summer,2020,Summer,Tokyo,3x3 Basketball,Women Team,
4685,GRAY Allisha,F,26,United States,USA,2020 Summer,2020,Summer,Tokyo,3x3 Basketball,Women Team,Gold
10549,PLUM Kelsey,F,26,United States,USA,2020 Summer,2020,Summer,Tokyo,3x3 Basketball,Women Team,Gold
12076,SHAROV Stanislav,M,26,Russia,ROC,2020 Summer,2020,Summer,Tokyo,3x3 Basketball,Men Team,Silver
10001,PAGET Marie-Eve,F,26,France,FRA,2020 Summer,2020,Summer,Tokyo,3x3 Basketball,Women Team,
13369,TOURE Mamignan,F,26,France,FRA,2020 Summer,2020,Summer,Tokyo,3x3 Basketball,Women Team,
14751,YASUOKA Ryuto,M,26,Japan,JPN,2020 Summer,2020,Summer,Tokyo,3x3 Basketball,Men Team,
7238,LASMANIS Karlis,M,27,Latvia,LAT,2020 Summer,2020,Summer,Tokyo,3x3 Basketball,Men Team,Gold
1467,BOGAERTS Rafael,M,27,Belgium,BEL,2020 Summer,2020,Summer,Tokyo,3x3 Basketball,Men Team,
14141,WANG Lili,F,28,China,CHN,2020 Summer,2020,Summer,Tokyo,3x3 Basketball,Women Team,Bronze
13817,VASIC Mihailo,M,28,Serbia,SRB,2020 Summer,2020,Summer,Tokyo,3x3 Basketball,Men Team,Bronze
8157,MARIEN Thierry,M,28,Belgium,BEL,2020 Summer,2020,Summer,Tokyo,3x3 Basketball,Men Team,
3634,ENKHTAIVAN Chimeddolgor,F,28,Mongolia,MGL,2020 Summer,2020,Summer,Tokyo,3x3 Basketball,Women Team,
13591,URSU Sonia,F,28,Romania,ROU,2020 Summer,2020,Summer,Tokyo,3x3 Basketball,Women Team,
3272,DOLSON Stefanie,F,29,United States,USA,2020 Summer,2020,Summer,Tokyo,3x3 Basketball,Women Team,Gold
10955,RATKOV Aleksandar,M,29,Serbia,SRB,2020 Summer,2020,Summer,Tokyo,3x3 Basketball,Men Team,Bronze
12153,SHINOZAKI Mio,F,29,Japan,JPN,2020 Summer,2020,Summer,Tokyo,3x3 Basketball,Women Team,
8720,MIEZIS Nauris,M,30,Latvia,LAT,2020 Summer,2020,Summer,Tokyo,3x3 Basketball,Men Team,Gold
11361,RULLI Giulia,F,30,Italy,ITA,2020 Summer,2020,Summer,Tokyo,3x3 Basketball,Women Team,
13697,van der HORST Dimeo,M,30,Netherlands,NED,2020 Summer,2020,Summer,Tokyo,3x3 Basketball,Men Team,
7706,LOGUNOVA Anastasiia,F,31,Russia,ROC,2020 Summer,2020,Summer,Tokyo,3x3 Basketball,Women Team,Silver
1107,BAYASGALAN Solongo,F,31,Mongolia,MGL,2020 Summer,2020,Summer,Tokyo,3x3 Basketball,Women Team,
14023,VOORN Jessey,M,31,Netherlands,NED,2020 Summer,2020,Summer,Tokyo,3x3 Basketball,Men Team,
10977,RDUCH Szymon,M,31,Poland,POL,2020 Summer,2020,Summer,Tokyo,3x3 Basketball,Men Team,
2149,CELIS Nick,M,32,Belgium,BEL,2020 Summer,2020,Summer,Tokyo,3x3 Basketball,Men Team,
3875,FILIP Ana Maria,F,32,France,FRA,2020 Summer,2020,Summer,Tokyo,3x3 Basketball,Women Team,
2732,CUIC Claudia,F,32,Romania,ROU,2020 Summer,2020,Summer,Tokyo,3x3 Basketball,Women Team,
7999,MAJSTOROVIC Dejan,M,33,Serbia,SRB,2020 Summer,2020,Summer,Tokyo,3x3 Basketball,Men Team,Bronze
2583,CONSOLINI Chiara,F,33,Italy,ITA,2020 Summer,2020,Summer,Tokyo,3x3 Basketball,Women Team,
2761,D ALIE Raelin,F,33,Italy,ITA,2020 Summer,2020,Summer,Tokyo,3x3 Basketball,Women Team,
1162,BEKKERING Ross,M,33,Netherlands,NED,2020 Summer,2020,Summer,Tokyo,3x3 Basketball,Men Team,
9670,OCHIAI Tomoya,M,34,Japan,JPN,2020 Summer,2020,Summer,Tokyo,3x3 Basketball,Men Team,
14917,ZAMOJSKI Przemyslaw,M,34,Poland,POL,2020 Summer,2020,Summer,Tokyo,3x3 Basketball,Men Team,
8144,MARGINEAN Gabriela,F,34,Romania,ROU,2020 Summer,2020,Summer,Tokyo,3x3 Basketball,Women Team,
2124,CAVARS Agnis,M,35,Latvia,LAT,2020 Summer,2020,Summer,Tokyo,3x3 Basketball,Men Team,Gold
7002,KRUMINS Edgars,M,35,Latvia,LAT,2020 Summer,2020,Summer,Tokyo,3x3 Basketball,Men Team,Gold
3278,DOMOVIC BULUT Dusan,M,35,Serbia,SRB,2020 Summer,2020,Summer,Tokyo,3x3 Basketball,Men Team,Bronze
3877,FILIPPI Marcella,F,35,Italy,ITA,2020 Summer,2020,Summer,Tokyo,3x3 Basketball,Women Team,
12334,SLAGTER Arvin,M,35,Netherlands,NED,2020 Summer,2020,Summer,Tokyo,3x3 Basketball,Men Team,
5294,HICKS Michael,M,38,Poland,POL,2020 Summer,2020,Summer,Tokyo,3x3 Basketball,Men Team,
1753,BROWN Ira,M,39,Japan,JPN,2020 Summer,2020,Summer,Tokyo,3x3 Basketball,Men Team,
10197,PAWLOWSKI Pawel,M,39,Poland,POL,2020 Summer,2020,Summer,Tokyo,3x3 Basketball,Men Team,
12681,STOENESCU Ancuta,F,41,Romania,ROU,2020 Summer,2020,Summer,Tokyo,3x3 Basketball,Women Team,
6523,KIM Je Deok,M,17,South Korea,KOR,2020 Summer,2020,Summer,Tokyo,Archery,Men's Team,Gold
6524,KIM Je Deok,M,17,South Korea,KOR,2020 Summer,2020,Summer,Tokyo,Archery,Mixed Team,Gold
12209,SIDDIQUE Diya,F,17,Bangladesh,BAN,2020 Summer,2020,Summer,Tokyo,Archery,Women's Individual,
